census_block,provider_id,travel_time_type,travel_time_minutes
CB012,PR004,DRIVING,65.583333336
CB012,PR005,DRIVING,72.666666666
CB012,PR006,DRIVING,71.833333332
CB012,PR007,DRIVING,68.899999998
CB012,PR008,DRIVING,71.833333332
CB012,PR009,DRIVING,80.41666666799999
CB012,PR010,DRIVING,85.016666664
CB012,PR011,DRIVING,113.633333334
CB012,PR012,DRIVING,115.450000002
CB012,PR013,DRIVING,112.36666666800001
CB012,PR014,DRIVING,118.75000000200001
CB012,PR015,DRIVING,140.766666666
CB012,PR016,DRIVING,166.883333334
CB013,PR001,DRIVING,145.566666666
CB013,PR002,DRIVING,130.65
CB013,PR003,DRIVING,128.433333336
CB013,PR004,DRIVING,116.833333332
CB013,PR005,DRIVING,137.983333332
CB013,PR006,DRIVING,127.316666664
CB013,PR007,DRIVING,124.966666668
CB013,PR008,DRIVING,127.316666664
CB013,PR009,DRIVING,100.900000002
CB013,PR010,DRIVING,135.616666668
CB013,PR011,DRIVING,81.166666668
CB013,PR012,DRIVING,186.6
CB013,PR013,DRIVING,98.433333336
CB013,PR014,DRIVING,174.400000002
CB013,PR015,DRIVING,196.416666666
CB013,PR016,DRIVING,222.533333334
CB014,PR001,DRIVING,222.916666668
CB014,PR002,DRIVING,253.43333333400003
CB014,PR003,DRIVING,214.750000002
CB014,PR004,DRIVING,188.74999999800002
CB014,PR005,DRIVING,179.616666666
CB014,PR006,DRIVING,174.649999998
CB014,PR007,DRIVING,175.333333332
CB014,PR008,DRIVING,176.383333332
CB014,PR009,DRIVING,191.483333334
CB014,PR010,DRIVING,159.700000002
CB014,PR011,DRIVING,224.71666666800002
CB014,PR012,DRIVING,128.183333334
CB014,PR013,DRIVING,210.766666668
CB014,PR014,DRIVING,119.516666664
CB014,PR015,DRIVING,122.433333336
CB014,PR016,DRIVING,118.516666668
CB015,PR001,DRIVING,75.416666664
CB015,PR002,DRIVING,105.91666666799999
CB015,PR003,DRIVING,67.249999998
CB015,PR004,DRIVING,27.833333334000002
CB015,PR005,DRIVING,48.983333334
CB015,PR006,DRIVING,38.316666666
CB015,PR007,DRIVING,35.966666664
CB015,PR008,DRIVING,38.316666666
CB015,PR009,DRIVING,12.233333334000001
CB015,PR010,DRIVING,46.600000001999994
CB015,PR011,DRIVING,36.700000002
CB015,PR012,DRIVING,97.600000002
CB015,PR013,DRIVING,41.699999999999996
CB015,PR014,DRIVING,85.399999998
CB015,PR015,DRIVING,107.416666668
CB015,PR016,DRIVING,133.516666668
CB016,PR001,DRIVING,172.533333336
CB016,PR002,DRIVING,203.200000002
CB016,PR003,DRIVING,164.366666664
CB016,PR004,DRIVING,138.366666666
CB016,PR005,DRIVING,127.11666666599999
CB016,PR006,DRIVING,127.63333333199999
CB016,PR007,DRIVING,128.966666664
CB016,PR008,DRIVING,129.716666664
CB016,PR009,DRIVING,149.55
CB016,PR010,DRIVING,119.80000000199999
CB016,PR011,DRIVING,182.78333333400002
CB016,PR012,DRIVING,78.683333334
CB016,PR013,DRIVING,168.499999998
CB016,PR014,DRIVING,79.633333332
CB016,PR015,DRIVING,82.54999999799999
CB016,PR016,DRIVING,85.616666664
CB017,PR001,DRIVING,86.599999998
CB017,PR002,DRIVING,84.850000002
CB017,PR003,DRIVING,109.183333332
CB017,PR004,DRIVING,134.216666664
CB017,PR005,DRIVING,141.28333333199998
CB017,PR006,DRIVING,140.449999998
CB017,PR007,DRIVING,137.51666666399998
CB017,PR008,DRIVING,140.466666666
CB017,PR009,DRIVING,149.03333333400002
CB017,PR010,DRIVING,153.63333333600002
CB017,PR011,DRIVING,182.25
CB017,PR012,DRIVING,192.366666666
CB017,PR013,DRIVING,180.983333334
CB017,PR014,DRIVING,187.366666668
CB017,PR015,DRIVING,209.383333332
CB017,PR016,DRIVING,235.5
CB018,PR001,DRIVING,123.16666666799999
CB018,PR002,DRIVING,153.683333334
CB018,PR003,DRIVING,115.00000000200001
CB018,PR004,DRIVING,84.250000002
CB018,PR005,DRIVING,82.966666668
CB018,PR006,DRIVING,71.950000002
CB018,PR007,DRIVING,69.6
CB018,PR008,DRIVING,71.950000002
CB018,PR009,DRIVING,86.183333334
CB018,PR010,DRIVING,66.783333336
CB018,PR011,DRIVING,119.416666668
CB018,PR012,DRIVING,98.25
CB018,PR013,DRIVING,87.30000000000001
CB018,PR014,DRIVING,79.516666668
CB018,PR015,DRIVING,73.35
CB018,PR016,DRIVING,89.050000002
CB019,PR001,DRIVING,57.400000002
CB019,PR002,DRIVING,87.91666666799999
CB019,PR003,DRIVING,49.249999998
CB019,PR004,DRIVING,23.233333332
CB019,PR005,DRIVING,12.299999999999999
CB019,PR006,DRIVING,14.816666664
CB019,PR007,DRIVING,17.383333332
CB019,PR008,DRIVING,18.166666667999998
CB019,PR009,DRIVING,38.050000002
CB019,PR010,DRIVING,26.683333332
CB019,PR011,DRIVING,71.283333336
CB019,PR012,DRIVING,65.41666666799999
CB019,PR013,DRIVING,63.933333336000004
CB019,PR014,DRIVING,60.416666664
CB019,PR015,DRIVING,82.433333334
CB019,PR016,DRIVING,108.55000000199999
CB020,PR001,DRIVING,30.316666668000003
CB020,PR002,DRIVING,50.816666664
CB020,PR003,DRIVING,18.15
CB020,PR004,DRIVING,53.533333332
CB020,PR005,DRIVING,66.716666664
CB020,PR006,DRIVING,66.18333333599999
CB020,PR007,DRIVING,63.250000002
CB020,PR008,DRIVING,66.18333333599999
CB020,PR009,DRIVING,65.449999998
CB020,PR010,DRIVING,79.083333336
CB020,PR011,DRIVING,81.733333332
CB020,PR012,DRIVING,117.816666666
CB020,PR013,DRIVING,100.716666666
CB020,PR014,DRIVING,112.816666668
CB020,PR015,DRIVING,134.833333332
CB020,PR016,DRIVING,160.93333333200002
CB021,PR001,DRIVING,106.533333336
CB021,PR002,DRIVING,79.900000002
CB021,PR003,DRIVING,102.16666666799999
CB021,PR004,DRIVING,109.399999998
CB021,PR005,DRIVING,131.283333336
CB021,PR006,DRIVING,130.750000002
CB021,PR007,DRIVING,127.816666668
CB021,PR008,DRIVING,130.750000002
CB021,PR009,DRIVING,122.433333336
CB021,PR010,DRIVING,138.766666668
CB021,PR011,DRIVING,128.85
CB021,PR012,DRIVING,182.383333332
CB021,PR013,DRIVING,155.983333332
CB021,PR014,DRIVING,177.38333333399999
CB021,PR015,DRIVING,199.399999998
CB021,PR016,DRIVING,225.499999998
CB022,PR001,DRIVING,136.316666664
CB022,PR002,DRIVING,121.399999998
CB022,PR003,DRIVING,126.33333333600001
CB022,PR004,DRIVING,114.733333332
CB022,PR005,DRIVING,135.883333332
CB022,PR006,DRIVING,125.20000000199998
CB022,PR007,DRIVING,122.866666668
CB022,PR008,DRIVING,125.21666666399999
CB022,PR009,DRIVING,98.783333334
CB022,PR010,DRIVING,133.5
CB022,PR011,DRIVING,79.05
CB022,PR012,DRIVING,184.5
